club_id,club_code,name,domestic_competition_id,stadium_name,stadium_seats
1032,fc-reading,Fc Reading,GB1,Select Car Leasing Stadium,24161
1387,acn-siena-1904,Acn Siena 1904,IT1,Artemio Franchi,15373
1071,wigan-athletic,Wigan Athletic,GB1,DW Stadium,25133
142,real-saragossa,Real Saragossa,ES1,La Romareda,33068
23,eintracht-braunschweig,Eintracht Braunschweig,L1,EINTRACHT-Stadion,23325
1210,as-livorno,As Livorno,IT1,Armando Picchi,19238
1627,catania-calcio,Catania Calcio,IT1,Cibali - Angelo Massimino,20016
1423,fc-valenciennes,Fc Valenciennes,FR1,Stade du Hainaut,25000
750,fc-sochaux-montbeliard,Fc Sochaux Montbeliard,FR1,Stade Auguste-Bonal,20005
1147,ac-ajaccio,Ac Ajaccio,FR1,Stade François-Coty,10446
3302,ud-almeria,Ud Almeria,ES1,Power Horse Stadium,15274
993,fc-cordoba,Fc Cordoba,ES1,Nuevo Arcángel,21822
1429,cesena-fc,Cesena Fc,IT1,Orogel Stadium - Dino Manuzzi,23860
1039,queens-park-rangers,Queens Park Rangers,GB1,Loftus Road Stadium,18360
14171,thonon-evian-grand-geneve-fc,Thonon Evian Grand Geneve Fc,FR1,Stade Joseph-Moynat,3600
3558,gfc-ajaccio,Gfc Ajaccio,FR1,Stade Ange-Casanova,4050
4102,carpi-fc-1909,Carpi Fc 1909,IT1,Sandro Cabassi,5510
105,sv-darmstadt-98,Sv Darmstadt 98,L1,Merck-Stadion am Böllenfalltor,17400
4795,fc-ingolstadt-04,Fc Ingolstadt 04,L1,Audi Sportpark,15800
2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,Adriatico,20476
458,palermo-fc,Palermo Fc,IT1,"Comunale Renzo Barbera ""La Favorita""",36365
289,afc-sunderland,Afc Sunderland,GB1,Stadium of Light,48707
641,fc-middlesbrough,Fc Middlesbrough,GB1,Riverside Stadium,33746
3008,hull-city,Hull City,GB1,KCOM Stadium,24983
1159,as-nancy-lorraine,As Nancy Lorraine,FR1,Stade Marcel-Picot,20087
2448,sporting-gijon,Sporting Gijon,ES1,El Molinón - Enrique Castro Quini,30000
595,sc-bastia,Sc Bastia,FR1,Stade Armand-Cesari,16480
41,hamburger-sv,Hamburger Sv,L1,Volksparkstadion,57000
1084,fc-malaga,Fc Malaga,ES1,La Rosaleda,30044
897,deportivo-la-coruna,Deportivo La Coruna,ES1,Riazor,32912
472,ud-las-palmas,Ud Las Palmas,ES1,Estadio de Gran Canaria,32400
512,stoke-city,Stoke City,GB1,bet365 Stadium,30089
2288,swansea-city,Swansea City,GB1,Liberty Stadium,21088
862,chievo-verona,Chievo Verona,IT1,Marcantonio Bentegodi,31045
8970,frosinone-calcio,Frosinone Calcio,IT1,Benito Stirpe,16227
855,ea-guingamp,Ea Guingamp,FR1,Stade du Roudourou,18120
603,cardiff-city,Cardiff City,GB1,Cardiff City Stadium,33280
1162,sm-caen,Sm Caen,FR1,Stade Michel-d'Ornano,20500
1110,huddersfield-town,Huddersfield Town,GB1,John Smith's Stadium,24500
12321,fc-girona,Fc Girona,ES1,Municipal de Montilivi,11286
42,hannover-96,Hannover 96,L1,HDI-Arena,49000
4,1-fc-nurnberg,1 Fc Nurnberg,L1,Max-Morlock-Stadion,50000
19,brescia-calcio,Brescia Calcio,IT1,Mario Rigamonti,19550
1005,us-lecce,Us Lecce,IT1,Ettore Giardiniero,31559
2722,spal,Spal,IT1,Paolo Mazza,16134
989,afc-bournemouth,Afc Bournemouth,GB1,Vitality Stadium,11329
1244,cd-leganes,Cd Leganes,ES1,Municipal de Butarque,12454
415,fc-toulouse,Fc Toulouse,FR1,Stadium Municipal,33150
38,fortuna-dusseldorf,Fortuna Dusseldorf,L1,MERKUR SPIEL-ARENA,54600
1416,amiens-sc,Amiens Sc,FR1,Stade Crédit Agricole la Licorne,12999
127,sc-paderborn-07,Sc Paderborn 07,L1,Benteler-Arena,15000
1160,nimes-olympique,Nimes Olympique,FR1,Stade des Costières,18364
4171,benevento-calcio,Benevento Calcio,IT1,Ciro Vigorito,16867
4083,fc-crotone,Fc Crotone,IT1,Ezio Scida,16640
130,parma-calcio-1913,Parma Calcio 1913,IT1,Ennio Tardini,22352
984,west-bromwich-albion,West Bromwich Albion,GB1,The Hawthorns,26850
931,fc-fulham,Fc Fulham,GB1,Craven Cottage,19000
1533,sd-eibar,Sd Eibar,ES1,Ipurua,8164
366,real-valladolid,Real Valladolid,ES1,Estadio Nuevo José Zorrilla,27618
5358,sd-huesca,Sd Huesca,ES1,El Alcoraz,9128
350,sheffield-united,Sheffield United,GB1,Bramall Lane,32702
2969,dijon-fco,Dijon Fco,FR1,Stade Gaston-Gérard,16098
86,sv-werder-bremen,Sv Werder Bremen,L1,Wohninvest-Weserstadion,42100
33,fc-schalke-04,Fc Schalke 04,L1,Veltins-Arena,62271
583,fc-paris-saint-germain,Fc Paris Saint Germain,FR1,Parc des Princes,49691
3524,clermont-foot-63,Clermont Foot 63,FR1,Stade Gabriel-Montpied,13000
347,fc-metz,Fc Metz,FR1,Stade Saint-Symphorien,26700
65,spvgg-greuther-furth,Spvgg Greuther Furth,L1,Sportpark Ronhof | Thomas Sommer,16626
80,vfl-bochum,Vfl Bochum,L1,Vonovia Ruhrstadion,27599
1095,es-troyes-ac,Es Troyes Ac,FR1,Stade de l'Aube,21877
1132,fc-burnley,Fc Burnley,GB1,Turf Moor,21994
1158,fc-lorient,Fc Lorient,FR1,Stade du Moustoir,19010
3522,spezia-calcio,Spezia Calcio,IT1,Alberto Picco,11512
1420,sco-angers,Sco Angers,FR1,Stade Raymond Kopa,16381
749,fc-empoli,Fc Empoli,IT1,Carlo Castellani,19847
276,hellas-verona,Hellas Verona,IT1,Marcantonio Bentegodi,39211
416,fc-turin,Fc Turin,IT1,Stadio Grande Torino,27994
1038,sampdoria-genua,Sampdoria Genua,IT1,Luigi Ferraris,36348
6574,us-sassuolo,Us Sassuolo,IT1,Mapei Stadium - Città del Tricolore,21584
398,lazio-rom,Lazio Rom,IT1,Olimpico di Roma,73261
800,atalanta-bergamo,Atalanta Bergamo,IT1,Gewiss Stadium,22512
12,as-rom,As Rom,IT1,Olimpico di Roma,73261
410,udinese-calcio,Udinese Calcio,IT1,Dacia Arena,25144
46,inter-mailand,Inter Mailand,IT1,Giuseppe Meazza,75923
607,venezia-fc,Venezia Fc,IT1,Pier Luigi Penzo,11150
5,ac-mailand,Ac Mailand,IT1,Giuseppe Meazza,75923
1025,fc-bologna,Fc Bologna,IT1,Stadio Renato Dall’Ara,36462
380,us-salernitana-1919,Us Salernitana 1919,IT1,Arechi,31300
1390,cagliari-calcio,Cagliari Calcio,IT1,Unipol Domus,16416
506,juventus-turin,Juventus Turin,IT1,Allianz Stadium,41507
252,genua-cfc,Genua Cfc,IT1,Luigi Ferraris,34901
430,ac-florenz,Ac Florenz,IT1,Artemio Franchi,47282
6195,ssc-neapel,Ssc Neapel,IT1,Stadio Diego Armando Maradona,54726
1123,norwich-city,Norwich City,GB1,Carrow Road,27244
1010,fc-watford,Fc Watford,GB1,Vicarage Road,21577
