game_id,competition_id,season,date,home_club_id,away_club_id,home_club_goals,away_club_goals,stadium,attendance
2341283,ES1,2013,2014-05-18,368,1531,3,1,Ramón Sánchez-Pizjuán,34268
2341259,ES1,2013,2014-05-18,366,16795,0,1,Nuevo José Zorrilla,25311
2341254,ES1,2013,2014-05-18,3302,621,0,0,Power Horse Stadium,10000
2341260,ES1,2013,2014-05-18,331,150,2,1,El Sadar,19398
2321360,L1,2013,2014-05-10,44,16,0,4,Olympiastadion Berlin,76197
2331184,FR1,2013,2014-05-17,244,855,1,0,Orange Vélodrome,37904
2331183,FR1,2013,2014-05-17,1421,273,1,3,Stade Auguste-Delaune,15053
2331180,FR1,2013,2014-05-17,417,1041,0,1,Allianz Riviera,28405
2331181,FR1,2013,2014-05-17,583,969,4,0,Parc des Princes,46206
2331177,FR1,2013,2014-05-17,415,1423,3,1,Stadium Municipal,20183
2331176,FR1,2013,2014-05-17,162,40,1,1,Stade Louis-II,7896
2331175,FR1,2013,2014-05-17,618,1147,3,1,Stade Geoffroy-Guichard,37201
2331182,FR1,2013,2014-05-17,595,995,0,0,Stade Armand-Cesari,14994
2331160,FR1,2013,2014-05-10,995,618,1,3,Stade de la Beaujoire,36609
2331178,FR1,2013,2014-05-17,750,14171,0,3,Stade Auguste-Bonal,19905
2331159,FR1,2013,2014-05-10,40,244,1,1,Matmut Atlantique,31555
2331147,FR1,2013,2014-05-10,273,750,1,2,Roazhon Park,16228
2331146,FR1,2013,2014-05-10,1082,583,1,3,Decathlon Arena-Stade Pierre-Mauroy,48960
2331144,FR1,2013,2014-05-10,1423,162,1,2,Stade du Hainaut,13006
2331157,FR1,2013,2014-05-07,583,273,1,2,Parc des Princes,45625
2331169,FR1,2013,2014-05-10,969,595,0,2,Stade de la Mosson,13969
2331139,FR1,2013,2014-05-10,1147,1421,2,1,Stade François-Coty,5534
2331162,FR1,2013,2014-05-07,162,855,1,1,Stade Louis-II,7683
2331150,FR1,2013,2014-05-04,244,1041,4,2,Orange Vélodrome,37842
