player_id,name,current_club_id,country_of_citizenship,date_of_birth,position,foot,height_in_cm
99946,Mohamed Camara,1095,Guinea,1990-09-20,Attack,Right,180
108372,Aliosman Aydin,38,Turkey,1992-02-06,Attack,Right,178
39049,Kei Kamara,1123,Sierra Leone,1984-09-01,Attack,Right,188
46154,Chris Martin,1123,Scotland,1988-11-04,Attack,Right,184
104725,Steve Morison,1123,Wales,1983-08-29,Attack,Right,188
30471,James Vaughan,1123,England,1988-07-14,Attack,Right,181
3666,Jason Roberts,1032,Grenada,1978-01-25,Attack,Right,185
192366,Gozie Ugwu,1032,England,1993-04-22,Attack,Right,188
12628,Noel Hunt,1032,Ireland,1982-12-26,Attack,Left,173
69653,Garath McCleary,1032,Jamaica,1987-05-15,Attack,Right,187
67369,Nick Blackman,1032,Barbados,1989-11-11,Attack,Left,188
46106,Adam Le Fondre,1032,England,1986-12-02,Attack,Right,180
14047,Jobi McAnuff,1032,Jamaica,1981-11-09,Attack,Right,180
16716,Danny Guthrie,1032,England,1987-04-18,Midfield,Right,176
42284,Jay Tabb,1032,Ireland,1984-02-21,Midfield,Left,170
9885,Brynjar Gunnarsson,1032,Iceland,1975-10-16,Midfield,Right,185
61559,Hope Akpan,1032,Nigeria,1991-08-14,Midfield,Right,185
40614,Shaun Cummings,1032,Jamaica,1989-02-25,Defender,Right,183
14041,Mikele Leigertwood,1032,Antigua and Barbuda,1982-11-12,Midfield,Both,188
12125,Stephen Kelly,1032,Ireland,1983-09-06,Defender,Right,184
43853,Chris Gunter,1032,Wales,1989-07-21,Defender,Right,180
158816,Jordan Obita,1032,England,1993-12-08,Defender,Left,181
3634,Ian Harte,1032,Ireland,1977-08-31,Defender,Left,175
81876,Joseph Mills,1032,England,1989-10-30,Defender,Left,175
13426,Nicky Shorey,1032,England,1981-02-19,Defender,Left,175
47768,Alex Pearce,1032,Ireland,1988-11-09,Defender,Right,188
243610,Jonathan Henly,1032,Scotland,1994-03-15,Goalkeeper,,193
80435,Korey Smith,1123,England,1991-01-31,Midfield,Right,183
130755,George Francomb,1123,England,1991-09-08,Defender,Right,180
33484,Leon Barnett,1123,England,1985-11-30,Defender,Right,185
67346,Marc Tierney,1123,England,1985-08-23,Defender,Left,183
136308,Gerrit Wegkamp,38,Germany,1993-04-13,Attack,Right,193
1568,Stefan Reisinger,38,Germany,1981-09-14,Attack,Right,185
2712,Nando Rafael,38,Angola,1984-01-10,Attack,Both,180
24232,Ronny Garbuschewski,38,Germany,1986-02-23,Attack,Both,180
6457,Axel Bellinghausen,38,Germany,1983-05-17,Midfield,Left,182
103577,Bastian Müller,38,Germany,1991-07-31,Midfield,Both,185
85611,Mathis Bolly,38,Cote d'Ivoire,1990-11-14,Attack,Both,185
34783,Ken Ilsö,38,Denmark,1986-12-02,Attack,,0
8640,Andreas Lambertz,38,Germany,1984-10-15,Midfield,Right,172
79643,Genki Omae,38,Japan,1989-12-10,Attack,Right,167
69395,Evans Nyarko,38,Ghana,1992-07-06,Midfield,Both,183
1772,Du-ri Cha,38,"Korea, South",1980-07-25,Defender,Right,181
146587,Tugrul Erat,38,Azerbaijan,1992-06-17,Defender,Right,190
992,Christian Weber,38,Germany,1983-09-15,Defender,Right,175
886,Jens Langeneke,38,Germany,1977-03-29,Defender,Right,185
21060,Martin Latka,38,Czech Republic,1984-09-28,Defender,,0
72203,Juanan,38,Spain,1987-04-27,Defender,Left,192
104545,Bruno Soares,38,Brazil,1988-08-21,Defender,Both,194
40975,Marcos,1095,Brazil,1979-09-29,Attack,Right,182
44727,Grégory Bettiol,1095,France,1986-03-30,Attack,Right,180
9239,Sébastien Grax,1095,France,1984-06-23,Attack,Right,180
27116,Benjamin Psaume,1095,France,1985-01-12,Attack,Right,170
5393,Sylvain Monsoreau,1095,France,1981-03-20,Defender,Left,186
12391,Stéphen Drouin,1095,France,1984-02-27,Defender,Left,186
17675,Florian Jarjat,1095,France,1980-02-18,Defender,Right,181
109617,Julien Outrebon,1095,France,1983-06-16,Defender,Right,181
255570,Iván Casado,366,Spain,1993-07-06,Defender,Right,187
57545,Johann Ramaré,1421,France,1984-06-05,Midfield,Left,181
